INPUT:image_left	INPUT:image_right	GOLDEN:result	HINT:text
highlightdisk/screenshot_emails/gensim_sentences/letter1.png	highlightdisk/screenshot_emails/embeddings/letter1.png		
highlightdisk/screenshot_emails/embeddings/letter1.png	highlightdisk/screenshot_emails/gensim_sentences/letter1.png		
highlightdisk/screenshot_emails/gensim_sentences/letter10.png	highlightdisk/screenshot_emails/embeddings/letter10.png		
highlightdisk/screenshot_emails/embeddings/letter10.png	highlightdisk/screenshot_emails/gensim_sentences/letter10.png		
highlightdisk/screenshot_emails/gensim_sentences/letter11.png	highlightdisk/screenshot_emails/embeddings/letter11.png		
highlightdisk/screenshot_emails/embeddings/letter11.png	highlightdisk/screenshot_emails/gensim_sentences/letter11.png		
highlightdisk/screenshot_emails/gensim_sentences/letter12.png	highlightdisk/screenshot_emails/embeddings/letter12.png		
highlightdisk/screenshot_emails/embeddings/letter12.png	highlightdisk/screenshot_emails/gensim_sentences/letter12.png		
highlightdisk/screenshot_emails/gensim_sentences/letter13.png	highlightdisk/screenshot_emails/embeddings/letter13.png		
highlightdisk/screenshot_emails/embeddings/letter13.png	highlightdisk/screenshot_emails/gensim_sentences/letter13.png		
highlightdisk/screenshot_emails/gensim_sentences/letter14.png	highlightdisk/screenshot_emails/embeddings/letter14.png		
highlightdisk/screenshot_emails/embeddings/letter14.png	highlightdisk/screenshot_emails/gensim_sentences/letter14.png		
highlightdisk/screenshot_emails/gensim_sentences/letter15.png	highlightdisk/screenshot_emails/embeddings/letter15.png		
highlightdisk/screenshot_emails/embeddings/letter15.png	highlightdisk/screenshot_emails/gensim_sentences/letter15.png		
highlightdisk/screenshot_emails/gensim_sentences/letter16.png	highlightdisk/screenshot_emails/embeddings/letter16.png		
highlightdisk/screenshot_emails/embeddings/letter16.png	highlightdisk/screenshot_emails/gensim_sentences/letter16.png		
highlightdisk/screenshot_emails/gensim_sentences/letter17.png	highlightdisk/screenshot_emails/embeddings/letter17.png		
highlightdisk/screenshot_emails/embeddings/letter17.png	highlightdisk/screenshot_emails/gensim_sentences/letter17.png		
highlightdisk/screenshot_emails/gensim_sentences/letter18.png	highlightdisk/screenshot_emails/embeddings/letter18.png		
highlightdisk/screenshot_emails/embeddings/letter18.png	highlightdisk/screenshot_emails/gensim_sentences/letter18.png		
highlightdisk/screenshot_emails/gensim_sentences/letter19.png	highlightdisk/screenshot_emails/embeddings/letter19.png		
highlightdisk/screenshot_emails/embeddings/letter19.png	highlightdisk/screenshot_emails/gensim_sentences/letter19.png		
highlightdisk/screenshot_emails/gensim_sentences/letter2.png	highlightdisk/screenshot_emails/embeddings/letter2.png		
highlightdisk/screenshot_emails/embeddings/letter2.png	highlightdisk/screenshot_emails/gensim_sentences/letter2.png		
highlightdisk/screenshot_emails/gensim_sentences/letter20.png	highlightdisk/screenshot_emails/embeddings/letter20.png		
highlightdisk/screenshot_emails/embeddings/letter20.png	highlightdisk/screenshot_emails/gensim_sentences/letter20.png		
highlightdisk/screenshot_emails/gensim_sentences/letter3.png	highlightdisk/screenshot_emails/embeddings/letter3.png		
highlightdisk/screenshot_emails/embeddings/letter3.png	highlightdisk/screenshot_emails/gensim_sentences/letter3.png		
highlightdisk/screenshot_emails/gensim_sentences/letter4.png	highlightdisk/screenshot_emails/embeddings/letter4.png		
highlightdisk/screenshot_emails/embeddings/letter4.png	highlightdisk/screenshot_emails/gensim_sentences/letter4.png		
highlightdisk/screenshot_emails/gensim_sentences/letter5.png	highlightdisk/screenshot_emails/embeddings/letter5.png		
highlightdisk/screenshot_emails/embeddings/letter5.png	highlightdisk/screenshot_emails/gensim_sentences/letter5.png		
highlightdisk/screenshot_emails/gensim_sentences/letter6.png	highlightdisk/screenshot_emails/embeddings/letter6.png		
highlightdisk/screenshot_emails/embeddings/letter6.png	highlightdisk/screenshot_emails/gensim_sentences/letter6.png		
highlightdisk/screenshot_emails/gensim_sentences/letter7.png	highlightdisk/screenshot_emails/embeddings/letter7.png		
highlightdisk/screenshot_emails/embeddings/letter7.png	highlightdisk/screenshot_emails/gensim_sentences/letter7.png		
highlightdisk/screenshot_emails/gensim_sentences/letter8.png	highlightdisk/screenshot_emails/embeddings/letter8.png		
highlightdisk/screenshot_emails/embeddings/letter8.png	highlightdisk/screenshot_emails/gensim_sentences/letter8.png		
highlightdisk/screenshot_emails/gensim_sentences/letter9.png	highlightdisk/screenshot_emails/embeddings/letter9.png		
highlightdisk/screenshot_emails/embeddings/letter9.png	highlightdisk/screenshot_emails/gensim_sentences/letter9.png		
highlightdisk/screenshot_emails/embeddings/letter13.png	highlightdisk/screenshot_emails/random/letter13.png	left	
highlightdisk/screenshot_emails/embeddings/letter15.png	highlightdisk/screenshot_emails/random/letter15.png	left	
highlightdisk/screenshot_emails/random/letter8.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter8.png	right	
highlightdisk/screenshot_emails/tf_idf_custom/letter10.png	highlightdisk/screenshot_emails/random/letter10.png	left	
highlightdisk/screenshot_emails/random/letter19.png	highlightdisk/screenshot_emails/tf_idf_custom/letter19.png	right	
highlightdisk/screenshot_emails/random/letter12.png	highlightdisk/screenshot_emails/tf_idf_custom/letter12.png	right	
highlightdisk/screenshot_emails/tf_idf_custom/letter17.png	highlightdisk/screenshot_emails/random/letter17.png	left	
highlightdisk/screenshot_emails/tf_idf_embeddings/letter6.png	highlightdisk/screenshot_emails/random/letter6.png	left	
highlightdisk/screenshot_emails/random/letter8.png	highlightdisk/screenshot_emails/tf_idf_custom/letter8.png	right	
highlightdisk/screenshot_emails/random/letter15.png	highlightdisk/screenshot_emails/tf_idf_embeddings/letter15.png	right	
